City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Labuhan,ID,-6.8844,112.2051,80.44,83,100,5.14,overcast clouds
133,Curup,ID,-3.4667,102.5333,67.08,96,100,1.25,overcast clouds
134,Buraydah,SA,26.326,43.975,81.05,12,96,11.63,overcast clouds
135,Bethel,US,41.3712,-73.414,58.73,78,90,1.99,overcast clouds
136,Nyurba,RU,63.2842,118.3319,33.67,69,100,16.06,overcast clouds
137,Saskylakh,RU,71.9167,114.0833,-12.12,100,100,2.15,overcast clouds
138,Khani,GE,41.9563,42.9566,42.37,54,0,4.25,clear sky
139,Albany,US,42.6001,-73.9662,58.37,70,95,11.43,overcast clouds
140,Faanui,PF,-16.4833,-151.75,78.96,79,73,6.6,light rain
141,Kavieng,PG,-2.5744,150.7967,80.91,80,20,10.89,moderate rain
142,San Carlos De Bariloche,AR,-41.1456,-71.3082,74.44,20,0,16.11,clear sky
143,Port Elizabeth,ZA,-33.918,25.5701,67.1,88,40,26.46,thunderstorm with light rain
144,Sangar,RU,63.9242,127.4739,13.6,95,100,7.65,overcast clouds
145,Nemuro,JP,43.3236,145.575,54.14,83,100,12.8,overcast clouds
146,Liuhe,CN,42.2401,125.7172,38.46,60,0,2.73,clear sky
147,Chokurdakh,RU,70.6333,147.9167,3.33,90,100,5.64,overcast clouds
148,Yulara,AU,-25.2406,130.9889,76.84,23,62,6.91,broken clouds
149,Taonan,CN,45.3333,122.7833,40.89,45,0,5.17,clear sky
150,Inhambane,MZ,-23.865,35.3833,75.18,73,40,6.91,light rain
151,Goroka,PG,-6.0834,145.3873,58.3,95,86,0.98,overcast clouds
152,Woodward,US,36.4337,-99.3904,58.23,56,90,25.32,overcast clouds
153,Mahebourg,MU,-20.4081,57.7,73.26,78,20,5.75,few clouds
154,Kununurra,AU,-15.7667,128.7333,80.58,89,75,1.14,broken clouds
155,Choya,RU,52.0108,86.5467,33.73,99,100,1.97,light rain
156,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,80,74,14.41,broken clouds
157,Tiksi,RU,71.6872,128.8694,7.92,96,98,4.05,overcast clouds
158,Kodinsk,RU,58.6881,99.1844,25.81,62,60,11.56,broken clouds
159,Aykhal,RU,66.0,111.5,20.64,92,100,24.83,light snow
160,Sitka,US,57.0531,-135.33,44.49,93,90,6.91,moderate rain
161,Culaman,PH,5.9603,125.6586,79.34,81,91,0.69,overcast clouds
162,Saldanha,ZA,-33.0117,17.9442,62.65,94,100,12.86,overcast clouds
163,Mathathane,BW,-22.2687,28.7495,73.26,58,56,21.45,broken clouds
164,Dikson,RU,73.5069,80.5464,6.6,93,58,4.07,broken clouds
165,Bredasdorp,ZA,-34.5322,20.0403,72.28,88,100,8.05,overcast clouds
166,Shache,CN,38.4167,77.2406,49.91,34,41,1.97,scattered clouds
167,Kodiak,US,57.79,-152.4072,36.28,48,1,3.44,clear sky
168,Inirida,CO,3.8653,-67.9239,81.54,83,82,2.04,broken clouds
169,Rottweil,DE,48.1678,8.6272,49.91,82,20,1.68,few clouds
170,Verdikoussa,GR,39.7803,21.9722,44.64,72,7,0.74,clear sky
171,Sao Francisco,BR,-15.9486,-44.8644,91.51,31,4,7.36,clear sky
172,Yar-Sale,RU,66.8333,70.8333,12.88,91,82,7.85,broken clouds
173,Cherskiy,RU,68.75,161.3,-19.12,98,8,5.19,clear sky
174,Denpasar,ID,-8.65,115.2167,78.46,88,20,1.14,few clouds
175,Egvekinot,RU,66.3167,-179.1667,3.34,91,99,4.12,overcast clouds
176,Hasaki,JP,35.7333,140.8333,57.6,88,99,8.1,overcast clouds
177,Adrar,MR,20.5022,-10.0711,80.15,35,15,18.37,few clouds
178,Lorengau,PG,-2.0226,147.2712,81.37,76,61,3.53,broken clouds
179,Creel,MX,27.75,-107.6333,64.89,23,47,9.13,scattered clouds
180,Nouadhibou,MR,20.931,-17.0347,69.64,86,56,16.4,broken clouds
181,Ereymentau,KZ,51.6199,73.1033,28.78,45,35,6.62,scattered clouds
182,Nhulunbuy,AU,-12.2333,136.7667,77.61,88,2,0.0,clear sky
183,Pangnirtung,CA,66.1451,-65.7125,32.0,80,75,6.91,broken clouds
184,Tottori,JP,35.5,134.2333,61.34,68,34,4.32,scattered clouds
185,Terrace Bay,CA,48.7834,-87.1,44.22,69,90,8.37,overcast clouds
186,New Norfolk,AU,-42.7826,147.0587,56.91,50,85,2.73,overcast clouds
187,Komsomolskiy,UZ,40.4272,71.7189,53.02,50,100,6.91,haze
188,Tete,MZ,-16.1564,33.5867,89.69,43,0,8.05,clear sky
189,Manuk Mangkaw,PH,4.8,119.85,82.06,69,49,3.78,scattered clouds
190,Jiangyou,CN,31.7667,104.7167,57.72,78,100,1.14,overcast clouds
191,Bucerias,MX,20.75,-105.3333,84.18,79,90,2.3,overcast clouds
192,Miranda De Ebro,ES,42.6865,-2.947,65.79,42,9,1.63,clear sky
193,Nome,US,64.5011,-165.4064,21.27,69,90,10.36,overcast clouds
194,Kruisfontein,ZA,-34.0033,24.7314,64.89,75,100,4.41,light rain
195,Coihaique,CL,-45.5752,-72.0662,62.55,45,75,6.91,broken clouds
196,Sao Filipe,CV,14.8961,-24.4956,79.43,75,68,8.48,broken clouds
197,Roseburg,US,43.2165,-123.3417,58.62,97,90,0.0,mist
198,Half Moon Bay,US,37.4636,-122.4286,67.59,79,1,6.91,haze
199,Cabedelo,BR,-6.9811,-34.8339,88.47,64,15,16.64,few clouds
200,Mirpur Sakro,PK,24.5474,67.6277,75.42,38,0,8.95,clear sky
201,Husavik,IS,66.0449,-17.3389,35.51,98,100,14.9,overcast clouds
202,Victor Harbor,AU,-35.5667,138.6167,61.81,88,90,9.26,overcast clouds
203,Yei,SS,4.095,30.6779,70.03,81,80,3.47,broken clouds
204,Deputatskiy,RU,69.3,139.9,0.88,97,100,1.68,overcast clouds
205,Saint George,US,37.1041,-113.5841,59.47,53,1,1.99,clear sky
206,Brightwater,NZ,-41.3833,173.1167,57.69,84,100,0.6,light rain
207,Yakeshi,CN,49.2833,120.7333,32.45,62,3,3.91,clear sky
208,Salalah,OM,17.0151,54.0924,78.89,78,0,0.0,clear sky
209,Kholtoson,RU,50.2981,103.3097,32.29,68,27,0.74,scattered clouds
210,Kulhudhuffushi,MV,6.6221,73.07,81.64,73,100,8.52,overcast clouds
211,Cocorit,MX,27.5833,-109.9667,82.74,34,0,6.6,clear sky
212,Sayansk,RU,54.1088,102.1648,36.79,53,99,6.29,overcast clouds
213,Dalbandin,PK,28.8947,64.4101,67.19,13,0,5.32,clear sky
214,Pathein,MM,16.7833,94.7333,76.39,87,61,1.99,broken clouds
215,Dunedin,NZ,-45.8742,170.5036,56.8,92,71,2.53,broken clouds
216,Neiafu,TO,-18.65,-173.9833,75.88,83,75,11.5,light rain
217,Maniwaki,CA,46.3834,-75.966,53.98,43,100,6.91,overcast clouds
218,Rosa Zarate,EC,0.3333,-79.4667,85.32,65,98,3.58,overcast clouds
219,Korop,UA,51.5664,32.9586,40.5,86,61,7.07,broken clouds
220,Tual,ID,-5.6667,132.75,83.79,76,47,11.34,scattered clouds
221,Alta Floresta,BR,-9.8756,-56.0861,89.42,62,20,3.44,few clouds
222,Hambantota,LK,6.1241,81.1185,78.17,83,96,12.1,overcast clouds
223,La Ronge,CA,55.1001,-105.2842,41.25,87,90,5.75,overcast clouds
224,Riyadh,SA,24.6877,46.7219,82.54,19,37,8.41,scattered clouds
225,Tiverton,GB,50.9,-3.4833,60.4,84,90,7.0,overcast clouds
226,Yurga,RU,55.7231,84.8861,28.06,62,93,9.28,overcast clouds
227,Chuy,UY,-33.6971,-53.4616,82.36,49,0,7.02,clear sky
228,Altamira,BR,-3.2033,-52.2064,86.09,74,75,8.05,broken clouds
229,Cologne,DE,50.9333,6.95,58.55,79,20,1.01,few clouds
230,Ushibuka,JP,32.1906,130.0228,64.67,58,0,10.04,clear sky
231,Broome,US,42.2506,-75.833,56.01,69,20,1.99,few clouds
232,Boddam,GB,57.4667,-1.7833,57.58,89,100,14.58,overcast clouds
233,Meulaboh,ID,4.1363,96.1285,74.05,94,100,5.41,moderate rain
234,Kendari,ID,-3.945,122.4989,78.06,85,39,1.07,scattered clouds
235,Teya,RU,60.3778,92.6267,22.5,83,98,12.44,light snow
236,Pevek,RU,69.7008,170.3133,9.93,94,100,12.33,light snow
237,Wattegama,LK,6.7989,81.4808,74.46,90,98,1.63,overcast clouds
238,Sibu,MY,2.3,111.8167,79.11,94,40,1.01,scattered clouds
239,Ulaangom,MN,49.9811,92.0667,36.7,61,100,1.9,overcast clouds
240,Geilo,NO,60.5333,8.2076,37.27,88,60,7.11,broken clouds
241,Caravelas,BR,-17.7125,-39.2481,81.12,59,85,10.51,overcast clouds
