City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Creel,MX,64.89,scattered clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
180,Nouadhibou,MR,69.64,broken clouds,20.931,-17.0347,El Medina
182,Nhulunbuy,AU,77.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
184,Tottori,JP,61.34,scattered clouds,35.5,134.2333,Hotel Monarque Tottori
186,New Norfolk,AU,56.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
187,Komsomolskiy,UZ,53.02,haze,40.4272,71.7189,Ikathouse
188,Tete,MZ,89.69,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
190,Jiangyou,CN,57.72,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
191,Bucerias,MX,84.18,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
192,Miranda De Ebro,ES,65.79,clear sky,42.6865,-2.947,Hospedería El Convento
194,Kruisfontein,ZA,64.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
195,Coihaique,CL,62.55,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
196,Sao Filipe,CV,79.43,broken clouds,14.8961,-24.4956,Hotel Xaguate
197,Roseburg,US,58.62,mist,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
198,Half Moon Bay,US,67.59,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
199,Cabedelo,BR,88.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
200,Mirpur Sakro,PK,75.42,clear sky,24.5474,67.6277,Ali muhammad’s house
202,Victor Harbor,AU,61.81,overcast clouds,-35.5667,138.6167,McCracken Country Club
203,Yei,SS,70.03,broken clouds,4.095,30.6779,City Link Hotel
205,Saint George,US,59.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
206,Brightwater,NZ,57.69,light rain,-41.3833,173.1167,Marama Vineyard & Accomodation
208,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
210,Kulhudhuffushi,MV,81.64,overcast clouds,6.6221,73.07,Haajy Guest House 1
211,Cocorit,MX,82.74,clear sky,27.5833,-109.9667,Kaba Motel
213,Dalbandin,PK,67.19,clear sky,28.8947,64.4101,Gidaan Guest House
214,Pathein,MM,76.39,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
215,Dunedin,NZ,56.8,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
216,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
217,Maniwaki,CA,53.98,overcast clouds,46.3834,-75.966,Centre Chateau Logue
218,Rosa Zarate,EC,85.32,overcast clouds,0.3333,-79.4667,Piscinas y Recepciones Hecalash
220,Tual,ID,83.79,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
221,Alta Floresta,BR,89.42,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
222,Hambantota,LK,78.17,overcast clouds,6.1241,81.1185,Bungalow 63
224,Riyadh,SA,82.54,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
225,Tiverton,GB,60.4,overcast clouds,50.9,-3.4833,Best Western Tiverton Hotel
227,Chuy,UY,82.36,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
228,Altamira,BR,86.09,broken clouds,-3.2033,-52.2064,Requinte Hotel
229,Cologne,DE,58.55,few clouds,50.9333,6.95,Mauritius Hotel & Therme
230,Ushibuka,JP,64.67,clear sky,32.1906,130.0228,Hotei
231,Broome,US,56.01,few clouds,42.2506,-75.833,Chenango Valley State Park
232,Boddam,GB,57.58,overcast clouds,57.4667,-1.7833,Palace Hotel
233,Meulaboh,ID,74.05,moderate rain,4.1363,96.1285,Kost Pria
234,Kendari,ID,78.06,scattered clouds,-3.945,122.4989,Hotel Wixel
238,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
241,Caravelas,BR,81.12,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
242,Senador Jose Porfirio,BR,86.65,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
243,Swan Hill,AU,61.47,light rain,-35.3378,143.5544,Lazy River Motor Inn
245,Aksu,CN,50.72,clear sky,41.1231,80.2644,Pudong Holiday Hotel
246,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
248,Ambilobe,MG,74.64,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
249,Daru,PG,80.19,broken clouds,-9.0763,143.2092,Daru Lodge
251,Kamaishi,JP,55.08,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
252,Saint-Francois,FR,50.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
253,Utete,TZ,75.78,scattered clouds,-7.986,38.758,River View Lodge
254,Pacific Grove,US,69.42,clear sky,36.6177,-121.9166,Lovers Point Inn
255,Port Lincoln,AU,56.43,light rain,-34.7333,135.8667,Port Lincoln Hotel
